,jc-141,jc-132,jc-133,jc-179b,jc-180,jc-161,jc-129,jc-160,jc-131,jc-159,jc-180b,jc-179,jc-166,jc-182,jc-137,pr-938,pr-922,pr-970,pr-945,pr-947,pr-927,pr-949,pm-918a,pm-918b,pm-956a,pm-956b,pr-931,pr-953,pr-961,pr-925,pr-946,pr-969,pr-932,pr-941,pr-935,pr-946b,pr-950,pr-942,pr-964,pr-955,pr-923,pr-958,pr-944,pr-960,pr-939,pr-916,pr-959,pr-939b,pr-917,pr-966,pm-852,pm-891,pm-881,pm-906,pm-880b,pm-897b,pm-858,pm-837,pm-830,pm-899,pm-898,pm-884a,pm-884b,pm-842,pm-838a,pm-838b,pm-868,pm-887,pm-880a,pm-897,pm-840a,pm-840b,pm-827,pm-843,pm-892,pm-913,pm-905,pm-850,pm-903,pm-902,pm-886,pm-867,pm-825,pm-3,pm-822,pm-858b,pm-847,pm-856,pm-829,pm-831,pm-853b,pm-850b,pm-820,pm-914,pm-860,pm-912,pm-851,pm-846,pm-896,pm-885,mg-503,mg-520,mg-536,mg-516,mg-504,mg-486,mg-502,mg-534,mg-515,mg-520b,mg-498a,mg-509,mg-537,mg-525,mg-535,mg-517,mg-496,mg-527,mg-493a,mg-530b,mg-531,mg-521,mg-489,mg-512,mg-487,mg-493b,mg-495a,mg-529,mg-526,mg-524,mg-498b,mg-495b,mg-538,mg-527b,mg-508,mg-499b,mg-500,mg-484,mg-499,mg-522,mg-507,mg-488,mg-519,mg-p8,mg-p9
1906,.,.,.,.,.,1030,.,.,770,.,.,.,1540,3660,980,1440,400,680,1120,1360,.,1090,440,670,1370,1220,1040,680,1240,510,1140,.,1810,.,1000,860,1040,340,370,1390,1900,1180,1370,1410,.,1560,1120,.,1280,530,490,1070,1920,330,.,900,1360,.,2060,1460,1300,450,400,770,.,900,.,820,.,770,.,1050,1750,.,.,620,2010,1440,1710,1950,3550,3640,1070,1530,1630,1890,1310,920,700,2160,260,1550,1260,1550,800,1920,980,1040,1310,4470,1010,1330,.,1200,1720,1020,1050,.,1830,1650,880,780,1120,910,.,810,560,960,.,540,1970,2240,770,1430,940,.,.,1190,770,680,1400,.,1000,870,1220,500,1630,1680,570,2190,1460,1510,1640,1070,510
1905,.,.,.,.,.,1470,.,.,790,.,.,.,1590,2790,970,1160,600,750,1110,1330,.,980,570,720,1520,1380,910,680,1170,.,950,.,1630,.,1050,840,750,620,580,1320,1800,1200,1410,1340,.,1300,1110,.,1640,700,690,1290,1730,310,.,990,1430,.,2250,1770,1110,520,500,1150,.,700,.,1160,.,790,.,990,1540,.,.,600,1590,1410,2120,2040,2600,3710,1060,1330,1170,1880,1480,1160,750,1720,400,1540,1070,1610,960,1950,870,1310,1160,2930,830,1160,.,1190,1580,830,820,.,1590,1610,660,840,700,660,.,650,630,1090,.,550,1540,1470,830,1000,1100,.,.,990,650,710,1120,.,1070,920,1280,530,1360,2010,900,1900,1270,1420,1230,860,660
1904,.,.,.,.,.,1070,.,.,840,.,.,.,1280,3100,1040,1240,560,780,1030,1280,.,1130,530,540,1820,1420,1060,630,950,.,890,.,1530,.,1010,710,730,560,460,1190,1430,1220,1300,1280,.,1100,1250,.,1440,610,590,990,1330,400,.,870,1320,.,1930,1660,690,580,460,1190,.,610,.,950,.,670,.,2060,1630,.,.,670,2210,1180,2730,1900,2590,4100,1070,1420,1120,1770,1210,1380,740,1630,360,1370,1310,1240,960,2820,810,1640,1190,2650,1220,1480,.,1640,1790,770,920,.,2280,1550,680,610,730,720,.,920,1540,1770,.,530,1540,1220,690,1350,1110,.,.,1010,710,600,1420,.,1190,1710,1450,820,1500,1780,1140,1940,1680,1630,1360,1070,620
1903,.,.,.,.,.,.,.,.,1160,.,.,.,1490,3610,1270,1240,660,1080,750,1250,.,970,560,520,1690,1650,1080,600,1250,.,720,.,1260,.,1210,620,890,610,290,1250,1370,1120,1300,1840,.,1240,1400,.,1510,780,590,1210,1580,420,.,1070,1530,.,1940,1420,860,530,430,1340,.,790,.,950,.,590,.,1840,1850,.,.,770,2630,1500,2350,1770,3490,4120,1020,1710,1030,1690,1430,1570,870,1590,500,1440,1660,1370,1600,2770,1220,1890,1130,3500,1180,1630,.,2070,1510,850,910,.,3140,1740,820,760,770,840,.,850,1850,1850,.,550,1840,1380,730,1780,1380,.,.,1280,580,850,1570,.,1350,1900,1480,980,1800,1710,1360,2160,1730,2040,1970,1470,820
1902,.,.,.,.,.,.,.,.,1440,.,.,.,860,5460,1210,920,530,1290,740,1070,.,850,520,410,1970,1620,1200,630,960,.,720,.,1650,.,1150,670,780,580,350,1190,1460,1210,1370,2080,.,1280,1590,.,1300,780,620,1140,1990,600,.,1070,1770,.,2340,1300,800,480,460,1650,.,550,.,650,.,730,.,1030,2290,.,.,910,3700,2130,2710,2410,4410,4410,1110,1320,1290,1580,1230,1700,810,1470,530,2240,1780,1350,990,3760,1400,2330,1210,4340,1360,1640,.,1990,1590,810,1310,.,2720,1650,800,720,360,790,.,810,1860,2060,.,570,1580,1330,800,1680,1310,.,.,1030,640,1040,1410,.,1370,1880,1600,1390,1610,1670,1280,2140,1620,1760,1940,1130,870
1901,.,.,.,.,.,.,.,.,1380,.,.,.,470,4320,980,1000,560,1170,640,960,.,430,360,390,1410,1180,880,590,1050,.,640,.,1500,.,960,590,490,620,530,850,1320,1270,1030,2250,.,960,1350,.,1090,.,360,870,1260,590,.,850,1690,.,2020,1410,730,390,250,1290,.,550,.,470,.,450,.,340,1870,.,.,880,3220,2190,1970,1710,3190,4110,940,1360,940,1320,860,1130,670,1270,460,1610,1730,1090,.,3080,1100,1660,990,3910,1140,1290,.,1690,1250,750,860,.,2260,1190,690,460,330,670,.,760,1290,1480,.,440,1240,1080,760,1430,1240,.,.,720,470,760,1320,.,1410,1420,1390,1400,1350,1220,1040,2160,1200,1590,720,1370,680
1900,.,.,.,.,.,.,.,.,1350,.,.,.,600,1560,1120,880,530,1080,600,990,.,420,350,470,1310,1300,1040,560,940,.,750,.,1130,.,1040,670,550,630,350,940,1230,1480,1200,2020,.,950,1410,.,990,.,470,970,930,490,.,960,1560,.,2200,1530,1050,550,320,1310,.,650,.,680,.,710,.,570,2050,.,.,930,3540,2100,2610,1480,3470,.,840,1680,910,1600,960,970,940,1700,600,1540,1880,1490,.,3750,920,1670,980,3390,1180,1490,.,1870,1530,700,820,.,2800,1470,670,390,620,840,.,680,1480,1740,.,250,1250,1630,760,1600,1400,.,.,1040,540,660,1580,.,1270,1770,1570,1180,1560,1210,1280,2480,1000,1560,580,1140,760
1899,.,.,.,.,.,.,.,.,1500,.,.,.,590,1800,1170,1100,.,1150,750,1000,.,350,340,550,1360,1180,920,440,1030,.,730,.,1450,.,870,600,490,890,410,1130,1270,1560,1010,1990,.,1110,1720,.,1100,.,500,1120,1110,520,.,1010,1630,.,2420,1540,1290,600,390,1990,.,950,.,1040,.,1030,.,470,1730,.,.,1070,2930,1750,2750,1700,3400,.,870,1480,870,1660,1070,1240,840,1680,900,1870,1980,1380,.,3360,1390,1910,1390,3290,1070,1470,.,2040,1570,660,810,.,3770,1670,860,780,590,1400,.,1110,1510,1830,.,580,1470,2240,790,2060,.,.,.,1090,660,760,1520,.,1460,1940,1650,1130,1530,1550,1260,2600,1130,1780,740,1270,800
1898,.,.,.,.,.,.,.,.,1020,.,.,.,740,1470,990,740,.,950,590,470,.,330,240,480,1700,1230,700,450,1160,.,570,.,1680,.,1070,560,310,530,430,890,1140,1310,1210,2120,.,1060,1740,.,950,.,470,1030,1110,390,.,1100,1250,.,1850,1780,1550,560,330,1780,.,1020,.,780,.,1070,.,270,2040,.,.,1090,2830,1850,2070,2140,3220,.,850,1460,880,1260,1160,950,750,1400,1190,2090,2020,1590,.,4260,1260,1970,1890,2840,1080,1230,.,2050,1720,730,770,.,3290,1870,700,740,610,1580,.,990,1480,2440,.,540,1410,1790,870,1640,.,.,.,990,680,630,1470,.,1300,1750,1490,1110,1270,1840,1210,2370,980,1970,480,1110,760
1897,.,.,.,.,.,.,.,.,790,.,.,.,830,1980,1260,750,.,1020,650,780,.,330,340,670,1430,1000,780,500,1120,.,620,.,1240,.,1050,600,230,830,440,830,1080,1460,1040,2110,.,1270,1740,.,1040,.,570,1110,1400,400,.,1010,1580,.,2720,1350,1590,620,430,1650,.,940,.,890,.,.,.,350,1990,.,.,1310,3240,1970,2950,2170,3320,.,1090,1970,890,1440,1420,1390,870,1460,.,1740,2230,1720,.,4250,1930,2000,1940,2240,1380,940,.,2460,2010,750,800,.,2620,1640,910,900,810,1480,.,1270,1390,1890,.,700,2010,2650,940,1930,.,.,.,1190,750,760,1780,.,1800,2010,1690,1290,1330,2710,1180,2700,1020,2270,920,1260,1020
1896,.,.,.,.,.,.,.,.,870,.,.,.,850,2200,1260,770,.,1100,720,660,.,460,270,540,1530,970,650,380,1040,.,660,.,1470,.,990,720,200,660,410,650,1390,1340,830,2880,.,1260,2040,.,930,.,410,1080,1390,430,.,1090,1590,.,3110,1400,.,420,330,990,.,840,.,820,.,.,.,280,2060,.,.,1290,3290,3160,4730,2490,3190,.,1640,1820,960,1100,1300,1050,1050,2060,.,1520,3190,2840,.,4490,1570,2590,2420,2540,1190,1070,.,1890,1360,640,750,.,2320,1800,850,630,630,1210,.,1080,1380,2040,.,710,1430,2860,870,1660,.,.,.,1010,580,750,1640,.,1920,1840,1540,1030,1130,2290,1030,2800,770,2060,770,1010,1120
1895,.,.,.,.,.,.,.,.,1040,.,.,.,1070,2570,1460,870,.,1180,600,630,.,400,290,500,1510,1180,680,540,1150,.,630,.,1580,.,1050,880,280,430,340,640,1440,1680,940,2310,.,1420,1810,.,910,.,510,1620,1370,430,.,1090,1360,.,2870,1130,.,650,430,820,.,680,.,910,.,.,.,340,1910,.,.,1100,3380,2560,4180,2190,2050,.,1250,1550,870,1180,1360,1200,1190,1570,.,1480,2620,3130,.,2840,1450,2360,3060,2370,1220,1030,.,1740,1470,910,830,.,2750,1590,680,750,740,2020,.,1300,1400,2400,.,690,1280,2810,1260,2120,.,.,.,950,820,700,1590,.,1810,2420,2250,1080,1190,2100,1150,2340,940,1880,1400,1060,1160
1894,.,.,.,.,.,.,.,.,850,.,.,.,820,2530,1300,470,.,750,620,430,.,320,150,290,840,520,520,530,860,.,510,.,1190,.,910,470,220,380,190,440,900,1050,590,1680,.,630,1390,.,460,.,330,560,640,320,.,940,630,.,1750,700,.,490,350,520,.,340,.,390,.,.,.,370,1320,.,.,670,2500,1200,1880,1370,1910,.,1340,1080,580,670,560,760,830,1430,.,950,1640,2120,.,1420,840,1060,1440,1540,620,810,.,910,860,810,370,.,1270,930,560,550,240,990,.,520,810,1420,.,520,1150,1200,990,840,.,.,.,770,440,400,980,.,1010,1560,1370,700,700,1470,530,1240,640,1290,730,670,440
1893,.,.,.,.,.,.,.,.,1220,.,.,.,980,2630,1660,870,.,1100,660,730,.,340,240,420,1210,770,600,610,980,.,640,.,1440,.,1140,710,430,400,270,650,1340,1440,1080,2200,.,1160,1510,.,710,.,450,940,800,330,.,850,1220,.,2450,1060,.,570,360,1120,.,340,.,740,.,.,.,460,1220,.,.,1100,3000,1960,1720,1720,2860,.,1470,1350,980,1230,1000,1320,1280,1370,.,1560,2260,2490,.,1420,1060,1520,1830,2730,1040,1090,.,1730,1320,830,700,.,2060,1210,680,560,470,1360,.,1050,1180,1660,.,600,990,1730,1040,1780,.,.,.,850,550,910,1370,.,1040,1710,1940,1020,1440,1840,960,2340,950,1580,1210,1220,780
1892,.,.,.,.,.,.,.,.,1210,.,.,.,1110,3300,1280,890,.,1120,850,860,.,430,330,460,1560,1140,790,660,1020,.,660,.,2270,.,1240,780,600,320,500,800,2000,1590,1220,2690,.,1000,1490,.,980,.,570,1320,1030,370,.,990,1160,.,2700,1260,.,690,480,1430,.,550,.,1180,.,.,.,520,1060,.,.,1010,3420,2050,1570,2320,2670,.,1890,1710,1010,1530,1360,1350,1550,1480,.,1570,2210,2950,.,2140,1100,1440,2380,4820,890,1710,.,1760,1840,640,740,.,1970,1380,390,540,550,1300,.,940,1260,1810,.,510,960,1590,1040,1740,.,.,.,830,690,840,1300,.,1050,1990,1990,870,1510,1440,840,2410,1150,1800,1200,1000,690
1891,.,.,.,.,.,.,.,.,840,.,.,.,1180,2470,940,820,.,860,740,640,.,660,220,440,1480,990,750,660,1120,.,620,.,1910,.,890,580,570,250,420,770,2180,1380,990,2320,.,920,1320,.,900,.,550,1170,1400,310,.,1080,1150,.,2390,1570,.,530,390,1450,.,770,.,880,.,.,.,560,1210,.,.,1190,2860,1880,1710,2310,3090,.,1420,1550,870,1430,1570,1200,1300,1330,.,1980,2320,4230,.,3320,1240,1050,2470,3780,900,1910,.,1500,1750,560,730,.,2100,1400,390,560,530,1360,.,720,1010,2130,.,520,810,1020,920,1160,.,.,.,830,630,560,1150,.,1080,2560,1690,920,1420,1640,820,1970,1080,1910,1030,980,680
1890,.,.,.,.,.,.,.,.,970,.,.,.,1290,3310,1190,1130,.,1200,920,550,.,800,280,400,1190,930,880,820,1130,.,790,.,2240,.,930,770,620,360,380,870,2350,1540,1270,2360,.,1110,1220,.,1080,.,780,1090,1090,570,.,1000,1270,.,3460,1380,.,840,490,1640,.,930,.,1240,.,.,.,830,1410,.,.,1330,3290,1050,2510,2800,3200,.,1240,2190,1260,1750,1180,1510,1880,1790,.,1460,2380,4650,.,3090,1170,1540,2230,3770,1330,1530,.,1610,1700,770,880,.,3040,1350,710,860,610,1530,.,1040,1350,2050,.,900,670,1600,940,1430,.,.,.,930,690,740,1660,.,1490,2280,1880,850,1590,1420,790,2350,1320,1610,1370,990,770
1889,.,.,.,.,.,.,.,.,800,.,.,.,1450,4040,1810,1330,.,1370,1130,740,.,1050,400,620,1530,1200,970,780,1220,.,1030,.,2560,.,1000,970,750,340,460,1120,2540,1680,1400,2980,.,1180,1300,.,1140,.,850,1740,1490,420,.,1240,1390,.,2930,1540,.,1200,480,1780,.,960,.,1980,.,.,.,720,1580,.,.,1770,4370,930,2210,2370,3120,.,1120,3120,1960,2020,1200,1670,1870,1490,.,1730,2540,6010,.,2850,1850,1640,2750,5430,1320,1570,.,1840,2110,870,710,.,1690,1880,800,940,620,1870,.,890,1610,2840,.,940,610,2350,790,1680,.,.,.,1140,1380,990,1730,.,1830,3130,2030,1050,1620,.,920,3020,1900,2070,1860,940,790
1888,.,.,.,.,.,.,.,.,.,.,.,.,1650,3320,1220,1330,.,1490,890,670,.,780,280,590,1150,950,800,730,1330,.,820,.,2150,.,750,810,520,.,610,1010,2220,1660,1280,2400,.,1180,1310,.,1000,.,600,1110,970,470,.,1070,1250,.,2210,1290,.,700,480,.,.,800,.,1170,.,.,.,730,1480,.,.,1640,4110,880,1890,2310,2980,.,1130,1840,1590,2190,600,1310,1650,1650,.,1090,2610,7930,.,4450,1140,1690,2740,4350,1130,1300,.,1650,1710,760,890,.,2050,1910,880,890,680,1520,.,880,1640,2480,.,850,400,3110,1300,1920,.,.,.,860,1100,790,1510,.,1670,2740,2120,850,1730,.,910,2920,2040,2050,1730,970,810
1887,.,.,.,.,.,.,.,.,.,.,.,.,1340,3030,1050,1350,.,1000,770,360,.,670,410,460,1020,770,790,630,1090,.,660,.,1850,.,590,630,480,.,380,860,1950,1480,1030,1580,.,920,1170,.,910,.,590,980,710,410,.,840,1450,.,2520,930,.,900,400,.,.,520,.,710,.,.,.,870,1950,.,.,2040,4210,1030,1260,2140,2490,.,1220,1530,1490,1820,610,1510,1290,1830,.,990,2250,6920,.,4790,1130,1010,2950,3220,1460,1170,.,1930,1690,660,860,.,1640,1360,900,540,630,810,.,1190,1760,2040,.,510,.,1070,990,1600,.,.,.,860,740,660,1380,.,1380,1950,2080,1010,1800,.,970,3010,1930,1820,1520,860,790
1886,.,.,.,.,.,.,.,.,.,.,.,.,1930,3530,1050,1580,.,1290,910,810,.,770,400,680,1300,1010,1150,750,1230,.,890,.,2920,.,840,780,530,.,320,960,2700,1820,1330,2420,.,1090,1230,.,1140,.,860,950,1180,450,.,1120,1420,.,3990,1370,.,850,520,.,.,1010,.,870,.,.,.,1800,2060,.,.,2380,4680,1340,1860,1880,2940,.,1530,1800,1710,1640,600,1300,1940,2410,.,1120,2860,6380,.,5290,1150,1000,4060,4540,1550,1370,.,2580,2120,920,1050,.,2070,2140,900,840,760,770,.,1160,2010,2530,.,820,.,.,1250,1910,.,.,.,1330,1140,1090,1360,.,1530,2580,2750,1240,2270,.,1230,3040,2550,2210,1740,1070,1200
1885,.,.,.,.,.,.,.,.,.,.,.,.,1760,4030,1040,1670,.,1450,800,660,.,950,450,720,1570,1130,1100,890,1180,.,930,.,2900,.,960,750,460,.,450,1070,2890,1960,1480,2390,.,1360,1440,.,1100,.,970,1100,1700,600,.,1050,1550,.,4100,1740,.,950,680,.,.,1030,.,970,.,.,.,1990,1640,.,.,2260,4440,1940,1740,2170,2620,.,.,1680,2000,1690,800,1430,2400,2280,.,1750,3040,8140,.,5840,1520,1350,3870,4640,1270,2310,.,2690,2080,1310,1230,.,1530,.,890,1200,910,770,.,990,1750,2640,.,.,.,.,1160,1710,.,.,.,1520,1340,890,1470,.,2030,2500,2580,1290,2140,.,1100,2950,2390,2750,1210,1190,1060
1884,.,.,.,.,.,.,.,.,.,.,.,.,1440,4480,900,1580,.,1180,920,580,.,890,480,600,1660,1220,1030,800,1280,.,830,.,2660,.,900,680,590,.,720,1190,2490,1950,1600,2460,.,1300,1390,.,1300,.,1030,970,960,.,.,1410,1630,.,2910,1830,.,1020,880,.,.,1170,.,1000,.,.,.,1080,1850,.,.,2140,3860,2040,1480,1820,2920,.,.,1570,1890,1670,690,1010,2460,2230,.,1500,2930,1260,.,5610,.,1570,2990,5020,1010,1640,.,2710,1730,890,1180,.,1730,.,960,1080,1000,650,.,1290,1400,2200,.,.,.,.,1130,1670,.,.,.,1520,1030,890,1470,.,1760,2260,2330,1110,1460,.,1220,2590,2020,2030,740,1120,910
1883,.,.,.,.,.,.,.,.,.,.,.,.,1370,3950,730,1320,.,1280,840,850,.,510,410,680,1610,1240,900,740,1160,.,730,.,2160,.,840,660,430,.,600,1160,2210,1620,1390,1930,.,1100,1280,.,1670,.,1450,1000,.,.,.,1400,1170,.,2480,1950,.,1110,760,.,.,1420,.,830,.,.,.,1280,2210,.,.,1990,3100,1940,2140,1650,3980,.,.,1840,1640,1230,1110,1010,1980,2120,.,1640,2820,1600,.,3650,.,2000,1590,4140,900,1420,.,2220,1680,990,710,.,1660,.,.,1410,950,1010,.,780,1530,2040,.,.,.,.,760,1680,.,.,.,1200,1260,560,1230,.,1580,2090,2030,960,1400,.,800,1940,1630,1450,700,910,870
1882,.,.,.,.,.,.,.,.,.,.,.,.,1180,3190,960,1570,.,1240,840,760,.,610,480,530,1400,1010,930,910,1340,.,790,.,2380,.,910,720,530,.,770,960,2450,1620,1580,1590,.,970,1490,.,1450,.,1050,750,.,.,.,1120,1340,.,2550,2150,.,1400,1140,.,.,1480,.,850,.,.,.,.,1730,.,.,2290,3580,1690,1780,2220,4160,.,.,2280,1730,1520,900,1260,2320,2640,.,1680,2340,2100,.,5230,.,1850,2280,3560,1260,1230,.,2410,2510,1370,940,.,1480,.,.,1360,1480,750,.,1110,1840,2400,.,.,.,.,990,1420,.,.,.,1180,1230,810,1520,.,1690,2390,1830,1250,1870,.,1140,2860,2410,2450,590,1130,1010
1881,.,.,.,.,.,.,.,.,.,.,.,.,1070,1830,790,1290,.,1000,850,560,.,470,590,720,1210,1220,700,700,1010,.,660,.,1750,.,850,710,390,.,800,840,2010,1460,1080,1310,.,990,1170,.,1240,.,1260,1130,.,.,.,1280,1450,.,.,.,.,1320,980,.,.,1160,.,640,.,.,.,.,1660,.,.,2120,3020,1800,1940,1640,2160,.,.,1270,1480,1620,980,1110,1480,2220,.,1920,2610,1700,.,5320,.,1630,1810,2900,1130,1270,.,2150,.,760,960,.,1150,.,.,1490,1110,790,.,860,1620,1850,.,.,.,.,780,1380,.,.,.,1140,1230,590,1340,.,1730,1870,1850,1180,1980,.,1200,2620,1930,2590,680,1050,820
1880,.,.,.,.,.,.,.,.,.,.,.,.,1250,2260,650,1100,.,970,690,490,.,320,490,520,1400,1200,610,630,1080,.,540,.,1650,.,990,620,380,.,690,840,2200,1420,1090,1210,.,1080,1110,.,1130,.,1190,1150,.,.,.,.,1390,.,.,.,.,1200,1120,.,.,1230,.,630,.,.,.,.,1300,.,.,2200,3150,1810,1270,1540,1780,.,.,1590,1570,1600,1130,1180,1980,1590,.,1790,2320,1700,.,5160,.,1730,2140,3920,1190,1150,.,1760,.,830,900,.,1670,.,.,1260,1150,1020,.,800,1890,2020,.,.,.,.,810,1280,.,.,.,1500,1390,700,1400,.,1540,2000,2060,1120,1910,.,1020,2570,1880,2860,700,1070,710
1879,.,.,.,.,.,.,.,.,.,.,.,.,970,1460,720,850,.,1060,510,470,.,440,310,500,1000,750,670,670,960,.,640,.,1680,.,840,530,350,.,660,700,2040,1240,840,1260,.,840,1020,.,990,.,960,810,.,.,.,.,1050,.,.,.,.,1170,860,.,.,840,.,600,.,.,.,.,1320,.,.,1590,2680,1320,850,1620,.,.,.,1470,1560,1390,1040,1250,1730,1480,.,1400,1900,1190,.,4300,.,1450,1590,2560,820,1160,.,1500,.,830,700,.,1500,.,.,1090,600,640,.,710,1220,1340,.,.,.,.,730,860,.,.,.,1100,1050,450,1210,.,1290,1190,1830,1030,1720,.,1080,2380,1580,2390,580,990,690
1878,.,.,.,.,.,.,.,.,.,.,.,.,1720,2160,680,840,.,1130,710,670,.,310,510,720,1290,930,770,860,1150,.,630,.,2010,.,1220,560,330,.,660,700,2480,1690,1080,1310,.,1000,1460,.,1090,.,1260,1050,.,.,.,.,970,.,.,.,.,1020,730,.,.,1120,.,620,.,.,.,.,1450,.,.,2430,3670,1420,780,1990,.,.,.,2440,1560,1170,1670,1520,3040,2010,.,2180,2360,1660,.,.,.,1560,1870,3850,1010,1440,.,2260,.,1270,780,.,1810,.,.,1210,1220,840,.,740,1730,1890,.,.,.,.,1110,1140,.,.,.,1070,1420,510,1370,.,1320,2000,2600,1180,2460,.,910,3050,1850,4750,750,1060,910
1877,.,.,.,.,.,.,.,.,.,.,.,.,1130,1510,890,840,.,1140,810,470,.,270,450,630,1220,970,600,670,1020,.,530,.,1940,.,1170,640,410,.,770,710,1670,1570,880,1190,.,1040,1170,.,940,.,1150,860,.,.,.,.,950,.,.,.,.,1120,930,.,.,970,.,550,.,.,.,.,1800,.,.,2220,3280,1030,1140,1840,.,.,.,.,1670,1180,1010,1310,2630,2560,.,1880,1940,1290,.,.,.,1490,1790,3330,920,1260,.,1860,.,1030,630,.,1780,.,.,1020,1100,710,.,730,1320,1450,.,.,.,.,720,1200,.,.,.,920,1070,540,1480,.,1070,1420,2100,1010,1870,.,1000,1960,1600,3140,730,1190,570
1876,.,.,.,.,.,.,.,.,.,.,.,.,910,.,1900,910,.,1440,1030,840,.,250,460,640,1360,910,730,860,1110,.,470,.,2240,.,1340,760,430,.,900,720,1990,1580,1060,1400,.,1140,1310,.,1140,.,1270,1300,.,.,.,.,1070,.,.,.,.,1410,1210,.,.,1200,.,600,.,.,.,.,1720,.,.,2830,3810,1880,1890,1880,.,.,.,.,1560,1210,1350,1300,4000,2560,.,2330,2550,1100,.,.,.,2120,1600,4090,960,1330,.,2180,.,1480,660,.,1330,.,.,930,1270,790,.,780,1210,1420,.,.,.,.,910,980,.,.,.,1110,1130,590,1680,.,1350,1440,1910,1120,1990,.,1000,2050,1950,3770,790,960,730
1875,.,.,.,.,.,.,.,.,.,.,.,.,1190,.,1780,940,.,1190,710,760,.,210,420,650,1380,1240,700,790,940,.,480,.,2060,.,1200,690,460,.,690,620,1770,1440,1100,1590,.,1070,1210,.,990,.,1270,1390,.,.,.,.,1330,.,.,.,.,1300,930,.,.,1290,.,710,.,.,.,.,2160,.,.,3400,3770,1890,1710,1910,.,.,.,.,1720,1250,1630,1270,4530,2680,.,2010,2320,1450,.,.,.,2170,1460,4160,1330,1620,.,1970,.,2160,590,.,1400,.,.,1340,1470,940,.,780,1040,1990,.,.,.,.,1230,990,.,.,.,1050,1120,510,1800,.,1220,1770,2070,1340,2010,.,920,2490,1810,2820,530,1130,640
1874,.,.,.,.,.,.,.,.,.,.,.,.,940,.,1680,640,.,1380,800,800,.,200,550,490,1240,880,580,840,1050,.,730,.,1420,.,1150,640,260,.,830,520,1670,1680,890,1640,.,800,940,.,1000,.,1020,1250,.,.,.,.,1340,.,.,.,.,930,830,.,.,1300,.,690,.,.,.,.,1900,.,.,3230,3880,1180,1230,1750,.,.,.,.,1650,1190,1750,1110,4330,1840,.,2340,2490,1660,.,.,.,1680,1570,4290,1300,1370,.,1170,.,980,550,.,1340,.,.,1290,1130,990,.,630,970,1800,.,.,.,.,860,950,.,.,.,760,890,480,1920,.,1080,1660,1950,1340,2300,.,1250,2180,1880,2020,670,1160,900
1873,.,.,.,.,.,.,.,.,.,.,.,.,1010,.,2110,890,.,1360,980,920,.,260,410,620,.,990,740,700,1020,.,680,.,1600,.,1450,710,340,.,490,610,1770,1730,1010,2060,.,970,1110,.,1100,.,810,1160,.,.,.,.,1200,.,.,.,.,1090,1150,.,.,1140,.,580,.,.,.,.,1960,.,.,3660,5050,1470,1820,1800,.,.,.,.,1880,1120,1670,1250,4640,2060,.,2500,2190,2480,.,.,.,1800,1950,4190,2130,1490,.,1380,.,1090,720,.,1230,.,.,1180,1620,890,.,990,1220,2630,.,.,.,.,1160,1180,.,.,.,860,1050,640,2450,.,1210,2570,2530,1410,2790,.,1440,2370,2430,2190,900,1320,1360
1872,.,.,.,.,.,.,.,.,.,.,.,.,1000,.,2030,880,.,1480,900,970,.,210,530,720,.,890,750,740,1120,.,840,.,1400,.,1530,710,350,.,940,680,2060,1920,980,2250,.,980,1020,.,1230,.,940,1490,.,.,.,.,1470,.,.,.,.,1040,1070,.,.,850,.,680,.,.,.,.,.,.,.,3440,3920,1560,1340,1490,.,.,.,.,1310,1380,.,1350,4490,1900,.,2530,2240,3140,.,.,.,1730,1870,4340,1950,1790,.,1470,.,1540,760,.,1610,.,.,1060,1270,830,.,960,1230,2550,.,.,.,.,930,1130,.,.,.,800,810,540,2160,.,960,2440,2490,1510,3010,.,1570,2550,2150,2550,.,1220,1310
1871,.,.,.,.,.,.,.,.,.,.,.,.,640,.,1600,870,.,1520,1180,840,.,350,470,630,.,1070,750,750,960,.,840,.,1210,.,1150,850,360,.,750,690,2040,1890,1520,2360,.,1250,1150,.,1120,.,960,1860,.,.,.,.,1030,.,.,.,.,1030,1120,.,.,1380,.,610,.,.,.,.,.,.,.,2850,3240,1290,830,1440,.,.,.,.,1130,1310,.,1300,3050,1880,.,2820,2060,2980,.,.,.,1470,2260,3640,1990,2060,.,1310,.,1220,890,.,1870,.,.,1190,1700,.,.,1010,1260,2390,.,.,.,.,830,1060,.,.,.,1090,750,850,2230,.,1060,2580,2300,1310,3140,.,1300,2930,2610,1780,.,1270,1340
1870,.,.,.,.,.,.,.,.,.,.,.,.,560,.,1930,830,.,1570,970,630,.,500,530,600,.,910,680,790,860,.,790,.,1280,.,990,900,310,.,820,780,2220,2010,1210,2520,.,1390,1240,.,1080,.,1150,.,.,.,.,.,.,.,.,.,.,1060,1290,.,.,.,.,690,.,.,.,.,.,.,.,2990,3630,1480,650,1680,.,.,.,.,1390,1410,.,1890,3060,2270,.,2430,2530,2510,.,.,.,1670,2100,3980,2230,.,.,2460,.,1520,810,.,1580,.,.,750,1820,.,.,1370,1240,2660,.,.,.,.,810,1690,.,.,.,1460,860,1090,2880,.,1310,2780,2660,1410,3830,.,1250,3410,3000,1500,.,1160,1740
