Year,Mountain Range,JB118309,JB118312,JB118313,JB118316,JB118317,JB118318,JB118320,JB118322,JB118323,JB118324,JB118326,JB118327,JB118332,JB118336,JB130804,JB130807,JB130808,JB130810,JB130813,JB130814,JB130815,JB130816,JB130817,JB130819,JB130821,JB130827,MC195302,MC195303,MC195304,MC195306,MC195307,MC195313,MC195314,MC195318,MC195319,MC195325,MC195329,MC216001,MC216002,MC216003,MC216004,MC216005,MC216010,MC216012,MC216014,MC216018,MC216020,MC216022,MC216026,MC216027,MC216029,MC216030,MC216039,MC231201,MC231203,MC231204,MC231205,MC231206,MC231207,MC231209,MC231211,MC231212,MC231213,MC231216,MC231217,MC231219,MC231221,MC231225,MC231226,MC231227,MC231232,MC231234,MC255807,MC255808,MC255809,MC255811,MC255814,MC255815,MC255817,MC255824,MC255825,MC255826,MC255827,MC255828,MC255830,MC255831,MC255833,MC300001,MC300017,MC300018,MC300022,MC300023,MC300024,MC300026,MC300027,MC300028,MC300032,MC300033,MC302801,MC302803,MC302807,MC302810,MC302813,MC302819,MC302820,MC302825,MC302827,MC302829,MC302831,MC302833,MC302834,MC302835
2002,Jarbidge,0.676,0.773,1.112,0.802,0.877,0.493,1.096,0.212,0.272,0.397,0.979,0.521,0.515,0.694,2.281,1.384,0.637,0.368,0.533,2.161,0.581,1.357,1.694,0.819,0.804,0.623,1.146,1.066,0.595,0.695,0.523,0.693,0.288,0.914,1.413,0.964,1.045,0.336,0.48,1.834,0.701,0.282,0.394,0.587,0.396,0.381,0.302,0.467,0.965,0.513,2.189,0.872,0.869,0.517,0.273,1.559,0.945,0.462,0.526,0.769,0.831,0.869,0.46,0.688,0.525,0.765,0.892,1.136,1.488,1.133,1.71,1.386,0.479,0.319,0.401,0.376,0.718,0.275,0.447,0.48,0.657,0.97,0.737,0.47,0.383,0.141,0.427,1.909,1.446,2.919,0.556,1.95,1.407,1.184,1.417,1.206,1.999,2.431,1.137,0.755,2.56,0.622,0.961,1.058,1.159,1.626,1.291,1.315,1.442,1.007,0.983,1.621
2003,Jarbidge,0.409,0.47,0.461,0.459,0.412,0.54,1.115,0.186,0.1,0.286,0.529,0.39,0.358,0.226,1.934,1.278,0.676,0.581,0.772,1.506,0.584,1.172,1.302,0.739,0.865,0.638,1.291,1.16,0.735,0.852,0.727,0.827,0.308,1.154,1.487,1.396,1.584,0.365,0.206,1.294,0.748,0.342,0.843,0.622,0.381,0.301,0.303,1.298,1.202,0.558,1.833,0.839,1.334,0.46,0.319,1.288,1.423,0.482,0.409,1.018,0.45,0.997,0.412,0.58,0.478,0.698,1.111,1.244,1.579,0.804,1.138,1.152,0.872,0.541,0.508,0.435,0.868,0.938,0.566,0.773,1.598,1.174,0.802,0.643,1.029,0.452,0.725,1.359,0.622,2.433,0.679,1.977,1.252,1.438,1.39,0.99,2.046,1.463,0.828,0.845,2.687,0.874,1.021,1.139,1.164,1.504,0.634,1.378,1.263,0.845,1.376,1.248
2004,Jarbidge,0.83,0.494,0.874,0.948,0.584,0.709,1.443,0.32,0.261,0.557,1.186,0.089,0.665,0.983,1.93,0.513,0.381,0.558,0.649,0.874,0.608,0.938,1.533,0.233,0.825,0.539,1.023,0.992,0.595,0.656,0.917,0.8,0.273,1.019,1.704,0.809,1.802,0.442,0.25,1.376,1.28,0.331,0.917,0.648,0.413,0.559,0.502,1.751,1.055,0.462,2.235,0.885,1.468,0.485,0.206,0.906,1.425,0.488,0.59,0.108,0.294,0.955,0.352,0.969,0.483,0.738,1.055,1.184,1.235,0.714,0.811,0.998,1.133,0.416,0.248,0.469,1,1.216,0.552,0.657,1.852,1.264,0.901,0.441,1.235,0.266,0.558,1.688,1.99,2.44,1.61,2.801,2.241,1.865,1.981,1.837,3.337,1.707,0.52,0.732,1.627,0.913,0.722,0.67,0.712,0.968,0.707,0.927,0.863,0.653,0.781,1.241
2005,Jarbidge,1.074,0.932,1.076,1.63,0.602,0.721,1.597,0.502,0.314,0.423,1.311,0.613,1.053,0.993,2.304,1.107,0.388,0.387,0.67,1.093,0.871,1.084,2.238,0.496,0.946,0.759,1.12,1.01,0.727,0.934,0.749,0.807,0.354,1.492,2.055,1.311,2.282,0.355,0.195,1.154,1.12,0.246,0.652,0.339,0.417,0.351,0.198,1.149,1.027,0.286,1.817,1.019,0.882,0.505,0.279,1.016,1.697,0.583,0.603,0.478,0.303,0.797,0.389,0.925,0.707,1.108,1.431,0.898,1.729,1.056,0.879,1.239,1.222,0.716,0.773,0.841,1.224,2.275,0.795,0.722,2.665,1.827,1.082,0.745,1.692,0.559,1.13,2.07,1.505,1.671,1.135,3.027,1.723,2.767,1.266,1.173,1.942,2.142,1.293,1.703,3.348,1.007,1.04,1.763,1.318,1.438,0.647,1.318,0.901,1.112,1.947,2.047
2006,Jarbidge,1.087,0.84,1.159,1.876,0.675,0.807,1.301,0.587,0.229,0.44,1.026,0.598,1.17,0.562,1.976,1.48,0.266,0.234,0.531,1.073,0.511,1.127,2.769,0.401,0.636,0.652,1.311,1.018,0.758,1.045,1.348,0.918,0.874,2.131,2.451,1.884,3.273,0.548,0.251,1.245,1.136,0.475,0.948,0.447,0.78,0.62,0.226,0.904,1.026,0.614,1.764,2.043,1.041,0.928,0.244,1.41,1.672,0.516,1.104,0.461,0.464,0.961,0.357,0.98,0.681,1.224,1.67,1.128,2.463,1.531,0.984,1.668,1.601,0.951,1.012,1.109,1.742,1.968,1.015,0.75,3.15,2.524,0.908,1.325,2.996,0.491,1.172,2.349,1.527,2.905,1.3,2.84,2.392,1.729,1.587,1.806,2.393,1.841,1.496,1.921,2.996,1.186,1.319,1.187,1.311,1.248,0.396,1.199,1.145,1.313,1.531,1.75
2007,Jarbidge,0.61,0.549,0.937,1.458,0.299,0.513,1.094,0.429,0.129,0.249,0.962,0.203,0.688,0.565,1.502,0.956,0.258,0.311,0.523,1.15,0.516,1.378,1.699,0.511,0.716,0.31,1.312,0.95,0.733,0.58,0.576,0.573,0.507,1.507,1.742,1.428,1.89,0.513,0.206,0.986,0.895,0.284,0.61,0.638,0.486,0.583,0.487,1.848,0.888,0.381,2.133,1.278,0.758,0.765,0.22,1.787,2.202,0.498,0.742,0.35,0.643,0.895,0.572,0.559,0.502,0.878,0.977,0.569,1.959,1.515,0.928,1.561,0.742,0.337,0.436,0.33,1.049,1.194,0.512,0.418,1.878,1.498,0.51,0.6,1.669,0.253,0.587,1.576,0.992,1.278,0.649,2.322,1.843,0.602,1.342,1.561,1.823,0.677,1.608,1.701,3.041,0.957,1.951,1.309,1.259,0.92,0.496,1.035,1.47,0.829,1.763,1.489
2008,Jarbidge,0.456,0.459,0.571,1.279,0.329,0.207,0.784,0.492,0.158,0.256,1.165,0.269,0.891,0.679,1.801,1.123,0.475,0.201,0.459,1.261,0.569,1.368,1.782,0.611,0.739,0.497,0.696,0.712,0.642,0.357,0.555,0.365,0.398,0.866,1.267,0.658,1.004,0.396,0.269,0.844,0.786,0.327,1.024,0.518,0.785,0.324,0.35,0.915,0.766,0.395,1.794,1.254,1.016,0.354,0.128,1.357,0.92,0.254,0.352,0.224,0.459,0.473,0.409,0.353,0.282,0.25,0.859,0.602,1.231,0.7,0.851,0.976,0.898,0.301,0.527,0.203,1.249,1.463,0.462,0.357,1.598,1.477,0.513,0.24,1.189,0.299,0.312,1.062,0.588,1.001,0.432,0.913,1.054,0.751,1.05,1.566,1.514,1.611,1.341,1.306,1.462,0.721,1.673,0.856,0.784,0.695,0.322,0.896,1.02,0.563,1.146,0.981
2009,Jarbidge,0.637,0.497,0.745,1.147,0.158,0.41,1.134,0.301,0.164,0.148,1.043,0.352,1.081,0.415,1.545,1.091,0.187,0.217,0.175,1.17,0.314,0.737,1.453,0.301,0.653,0.304,0.933,0.647,0.471,0.178,0.092,0.418,0.391,1.076,1.098,0.534,1.082,0.221,0.293,0.988,0.687,0.27,1.434,0.543,0.859,0.388,0.455,1.46,0.728,0.606,1.865,0.779,1.402,0.6,0.092,1.135,0.228,0.178,0.339,0.229,0.371,0.732,0.243,0.128,0.375,0.122,1.123,0.802,1.206,1.1,0.699,0.995,1.35,0.428,0.728,0.374,1.584,2.19,0.838,0.727,1.822,1.834,1.036,0.203,2.515,0.665,0.789,1.684,1.2,1.246,0.782,2.449,1.539,2.583,0.735,1.243,1.761,1.265,1.638,1.382,1.715,0.693,1.494,1.159,1.305,1.467,0.402,0.924,0.888,0.536,1.453,1.346
2010,Jarbidge,1.026,0.468,0.714,0.848,0.286,0.484,0.77,0.376,0.173,0.268,1.742,0.618,0.722,0.362,2.139,0.976,0.342,0.414,0.322,1.827,0.4,0.515,1.294,0.448,0.818,0.492,0.877,0.557,0.445,0.445,0.873,0.636,0.351,1.001,1.378,0.529,1.415,0.177,0.356,0.964,0.656,0.348,0.937,0.381,0.572,0.47,0.615,1.207,1.063,0.502,1.402,1.638,1.044,0.418,0.102,1.039,1.128,0.192,0.524,0.246,0.381,0.817,0.438,0.589,0.501,0.405,1.375,0.489,1.416,1.118,0.807,1.11,0.908,0.351,0.463,0.345,1.388,2.207,0.777,0.609,1.427,1.544,1.123,0.198,1.456,0.776,0.812,0.849,0.515,0.629,0.471,1.058,0.663,1.093,0.259,0.612,0.911,0.631,1.27,1.24,2.273,0.673,1.691,1.029,1.393,1.787,0.466,1.211,1.024,0.497,1.223,1.634
2011,Jarbidge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,0.091,0.094,0.402,0.302,0.621,0.11,0.392,0.137,0.288,0.479,0.096,0.143,0.556,0.128,0.214,0.098,0.095,0.233,0.205,0.107,0.247,0.094,0.208,0.171,0.154,0.184,0.154,0.151,0.525,0.143,0.472,0.158,0.495,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.088,1.326,2.022,0.724,1.648,0.866,1.097,1.108,0.39,0.796,0.869,0.457,1.144,1.806
